,song_name,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence,revenue
5949,Done,5,196153,0.437,0.617,0.63,0,7,0.144,-5.657,0,0.105,95.332,4,0.822,4294
5950,Let's Make Love,26,213960,0.000152,0.442,0.929,0.277,1,0.191,-5.755,0,0.0859,179.864,4,0.361,2869
5951,Te Me Fuiste,22,197094,0.239,0.338,0.749,2.03E-06,2,0.259,-5.777,1,0.0828,203.725,4,0.64,9978
5952,Red Bentley (feat. Young Thug),0,207866,0.0301,0.903,0.609,1.61E-05,10,0.179,-7.555,0,0.237,149.991,4,0.268,39463
5953,Thunder Clatter,8,271441,0.301,0.6,0.968,1.88E-06,6,0.19,-2.444,1,0.0329,123.019,4,0.635,2186
5954,The World,19,229700,0.0403,0.856,0.336,0.0857,1,0.116,-10.061,0,0.0777,143.002,4,0.249,6445
5955,You're Beautiful,48,213053,0.603,0.679,0.54,1.70E-05,0,0.0905,-7.457,0,0.026,81.971,4,0.449,76485
5956,Astroworld,40,152694,0.223,0.784,0.539,0.785,6,0.0801,-10.011,0,0.0636,140.023,4,0.358,66810
5957,Surface,31,213600,0.000401,0.499,0.995,0,4,0.429,-3.536,1,0.227,142.271,4,0.236,5660
5958,Holiday,65,231560,0.0251,0.813,0.699,0.0135,7,0.0527,-8.656,1,0.0458,117.548,4,0.732,80466
5959,Mi Cama - Remix,87,196320,0.299,0.815,0.784,0,9,0.0958,-4.423,1,0.0738,162.958,4,0.832,42883
5960,Vices,8,196225,0.369,0.722,0.635,0,9,0.291,-5.465,0,0.146,100.019,4,0.431,47607
5961,Taking A Walk,80,121680,0.68,0.767,0.538,0,0,0.192,-6.044,0,0.052,81.031,4,0.343,4738
5962,Mambo No 5,52,162213,0.337,0.816,0.416,0.791,5,0.0452,-17.795,0,0.244,90.148,4,0.817,4678
5963,Bottled Up,75,199300,0.107,0.843,0.58,1.84E-05,2,0.0645,-4.271,1,0.0591,98.023,4,0.638,9088
5964,Frostbite (Remix) (feat. Offset & Rich The Kid),65,253866,0.204,0.958,0.705,2.02E-05,1,0.115,-4.916,1,0.167,124.997,4,0.516,2801
5965,Voodoo Child,49,237720,0.00172,0.652,0.959,0.000325,4,0.115,-5.047,1,0.0375,132.453,4,0.803,4314
5966,Better in Time,73,234173,0.512,0.584,0.7,2.43E-05,6,0.13,-4.251,1,0.0506,163.953,4,0.549,7806
5967,Beyond,74,240600,0.229,0.58,0.687,0,6,0.109,-5.4,1,0.106,76.014,4,0.187,6055
5968,On The Other Hand,52,186346,0.175,0.657,0.415,5.65E-06,5,0.132,-9.915,1,0.025,96.03,4,0.347,3185
5969,For Instance,24,229586,0.121,0.739,0.638,5.03E-06,2,0.224,-5.286,1,0.307,95.926,4,0.641,62294
5970,Human,48,213086,2.28E-05,0.507,0.99,0,0,0.347,-3.517,0,0.121,135.053,4,0.28,4510
5971,Runaway (U & I) - Dillon Francis Remix,49,213000,0.00197,0.487,0.867,0.00602,10,0.0968,-3.293,0,0.0543,160.048,4,0.403,5210
5972,STOOPID,90,152000,0.13,0.733,0.63,0,11,0.162,-4.296,1,0.395,149.989,4,0.832,9324
5973,April,64,201648,0.995,0.475,0.0297,0.962,4,0.104,-23.805,1,0.0699,76.815,4,0.179,9634
5974,Sueño Americano,21,244413,0.574,0.651,0.867,0,8,0.0677,-4.817,0,0.182,90.021,4,0.84,6383
5975,Wolf (Bonus Track),58,220333,0.0594,0.522,0.746,0.00103,8,0.257,-6.999,1,0.0422,102.093,4,0.404,62547
5976,Speakerbox (feat. Ohana Bam & Lafa Taylor) - F8 Remix,32,188906,0.0208,0.576,0.88,8.99E-05,8,0.334,-2.01,0,0.126,87.969,4,0.514,7946
5977,Our Lips Are Sealed,51,171506,0.721,0.72,0.677,0.00379,0,0.18,-10.717,1,0.0351,125.579,4,0.867,2165
5978,"Wu Tang Forever (ft. Ghostface Killah, Raekwon, RZA, Method Man, Inspectah Deck, Cappadonna, Jackpot Scotty Wotty, U-God, Masta Killa, GZA)",79,487960,0.146,0.703,0.807,0,1,0.379,-4.936,1,0.315,90.933,4,0.768,9029
5979,Habiby Da - Remix,0,222432,0.044,0.778,0.839,0.00108,2,0.184,-8.499,1,0.0343,113.809,4,0.843,46934
5980,From Her to Eternity - 2009 Remastered Version,35,335200,0.0416,0.627,0.462,0.00496,10,0.235,-11.583,0,0.0937,128.056,4,0.162,18683
5981,Egyptian Luvr (feat. Aminé and Dana Williams),52,256613,0.0553,0.834,0.591,0,10,0.074,-7.543,0,0.305,104.944,4,0.9,2205
5982,Winterwalk,45,240000,0.242,0.545,0.373,5.81E-05,1,0.288,-9.29,1,0.14,201.939,4,0.32,4912
5983,Black Belt,41,258826,0.0227,0.965,0.393,0.000531,5,0.353,-9.904,0,0.0835,120.011,4,0.604,3475
5984,The Way I Am,31,186080,0.314,0.755,0.769,2.38E-06,10,0.0628,-5.658,0,0.186,114.966,4,0.642,9418
5985,Flowers - Sunship Radio Edit,60,230906,0.439,0.76,0.911,0.00287,0,0.482,-9.018,0,0.0941,131.879,4,0.937,9253
5986,No Going Back,60,208200,0.0114,0.714,0.713,0.0183,2,0.0608,-5.52,0,0.027,93.006,4,0.9,8536
5987,Drop Top Benz,55,134027,0.355,0.841,0.63,0,1,0.121,-6.999,1,0.234,150.074,4,0.742,5197
5988,Put You On,62,224553,0.212,0.678,0.827,0,11,0.104,-4.49,1,0.0861,92.003,4,0.764,3565
5989,New Level,65,267211,0.0566,0.526,0.655,0,1,0.116,-4.208,0,0.326,121.127,4,0.156,24443
5990,You Are The Reason - John Gibbons Remix,48,210133,0.172,0.599,0.915,0,7,0.169,-4.013,0,0.0411,120.024,4,0.238,17068
5991,Take Me Away,48,210298,0.268,0.849,0.487,0,9,0.106,-7.274,1,0.328,95.984,4,0.385,9288
5992,Close to Me,50,191371,0.341,0.755,0.622,0,10,0.249,-3.521,0,0.0756,79.996,4,0.447,5703
5993,Irony,69,208260,0.256,0.389,0.479,0,5,0.124,-8.029,1,0.0438,152.309,4,0.301,7550
5994,Revista De Gimnasia,45,230280,0.000596,0.706,0.759,0.00996,1,0.335,-5.873,0,0.0329,112.014,4,0.792,6181
5995,Como La Flor,66,184733,0.179,0.632,0.738,6.11E-06,10,0.375,-7.708,1,0.0405,91.167,4,0.883,82590
5996,Inevitable,70,192866,0.269,0.595,0.461,0.000149,6,0.123,-7.786,1,0.0641,91.976,4,0.338,4405
5997,Crying,59,166466,0.758,0.35,0.293,8.21E-06,2,0.104,-9.502,1,0.0258,96.685,4,0.162,4095
5998,oui,28,238320,0.203,0.41,0.726,0,5,0.107,-3.845,1,0.15,77.226,5,0.552,2306
5999,My Band,70,298773,0.497,0.851,0.849,2.05E-06,1,0.116,-3.383,0,0.0828,120.014,4,0.844,7511
6000,Pour Some Sugar On Me - Remastered 2017,75,267306,0.00211,0.267,0.953,0,1,0.283,-4.899,0,0.096,84.989,4,0.568,6093
6001,Suavecito,37,191841,0.386,0.749,0.779,0,5,0.0911,-4.272,1,0.0306,144.09,4,0.961,3570
6002,Bajen Pa' Aca,58,291868,0.538,0.624,0.539,9.50E-05,1,0.415,-6.306,1,0.245,170.206,4,0.142,5382
6003,House Of Jealous Lovers,45,304786,0.000333,0.729,0.761,0.368,1,0.308,-4.277,1,0.0354,130.007,4,0.763,9709
6004,Addicted To That Rush,4,284973,0.0537,0.46,0.974,7.95E-06,2,0.329,-5.095,1,0.156,112.684,4,0.444,6905
6005,Yikes,81,188773,0.145,0.676,0.777,0,1,0.228,-3.241,0,0.357,173.931,4,0.226,2143
6006,double at 11pm,54,151664,0.794,0.6,0.247,0.87,3,0.117,-16.3,0,0.0572,171.956,4,0.262,3284
6007,Magnolia,0,199984,0.369,0.686,0.464,0.0888,0,0.111,-9.78,1,0.0281,144.544,4,0.635,80440
6008,Est,31,148837,0.0814,0.773,0.388,0.887,3,0.165,-14.714,0,0.0678,129.021,4,0.78,77524
6009,Yin / Yang,52,169527,0.902,0.919,0.597,0.0117,5,0.109,-5.885,0,0.118,125.96,4,0.363,9852
6010,I Want It That Way,40,213026,0.24,0.683,0.687,0,6,0.131,-5.833,0,0.0274,99.035,4,0.502,5528
6011,What's the Use?,59,288640,0.736,0.759,0.492,0.00989,1,0.107,-10.338,0,0.12,104.974,4,0.561,9755
6012,Body,86,163216,0.0476,0.752,0.764,9.44E-05,1,0.0543,-4.399,1,0.038,121.958,4,0.582,37093
6013,Ice Ice Baby,71,254466,0.0023,0.978,0.787,4.60E-06,2,0.102,-2.79,1,0.0394,116.006,4,0.597,4237
6014,Bennie And The Jets - Remastered 2014,23,322548,0.251,0.666,0.668,5.77E-06,0,0.499,-7.961,1,0.0523,132.666,4,0.765,4644
6015,Don't Be So Hard On Yourself,65,211460,0.0608,0.571,0.815,0,6,0.163,-3.267,1,0.0321,120.008,4,0.664,4502
6016,Ballad Of Forty Dollars,32,183400,0.334,0.6,0.843,0,2,0.346,-7.489,1,0.0462,115.081,4,0.866,4700
6017,Break The Bank (feat. Offset),70,184186,0.00445,0.941,0.671,0.00284,8,0.139,-6.259,1,0.322,140.048,4,0.198,7487
6018,Eye Candy,38,249293,0.33,0.786,0.582,0,1,0.0959,-5.732,1,0.0865,85.02,4,0.841,8289
6019,Me Tengo Que Ir,63,280189,0.258,0.451,0.785,0,2,0.12,-4.701,0,0.0362,96.831,4,0.846,67650
6020,Let Your Love Flow,65,198760,0.0611,0.679,0.553,7.16E-06,3,0.139,-14.687,1,0.0316,109.071,4,0.946,2589
6021,Good Vibrations - Remastered,67,217746,0.387,0.403,0.495,8.03E-06,10,0.147,-6.888,0,0.0312,132.91,4,0.38,5007
6022,Deep Green,49,215729,0.433,0.52,0.583,0.0198,9,0.197,-10.085,0,0.0311,98.99,4,0.236,2641
6023,KeeP IN tOUcH (feat. Bryson Tiller),74,199462,0.282,0.589,0.884,0,11,0.0908,-4.313,0,0.482,163.88,4,0.562,5704
6024,How Dat Sound (feat. 2 Chainz & Yo Gotti),69,238657,0.158,0.767,0.625,0,5,0.16,-3.533,0,0.24,144.927,4,0.647,9573
6025,Madiba Riddim,67,205162,0.235,0.834,0.527,0.00968,7,0.632,-10.4,1,0.193,105.86,4,0.319,7876
6026,Porqué Te Vas?,59,201160,0.427,0.612,0.458,8.41E-06,0,0.103,-11.086,0,0.069,172.516,4,0.961,4877
6027,comethru,77,181520,0.603,0.798,0.175,0,0,0.625,-12.603,1,0.0594,93.994,4,0.633,3617
6028,Try Me,77,221106,0.622,0.466,0.672,0.00108,8,0.147,-5.777,0,0.068,91.673,4,0.108,5871
6029,Mice,58,244266,0.712,0.53,0.2,1.07E-05,5,0.0859,-12.473,1,0.0468,61.255,4,0.357,32846
6030,Celoso,87,179693,0.352,0.746,0.703,0,4,0.331,-4.179,0,0.107,166.043,4,0.667,90900
6031,Pequeñas Cosas,60,307200,0.585,0.688,0.614,0,9,0.0978,-9.247,1,0.0378,176.396,4,0.852,43345
6032,East Atlanta Love Letter (feat. Future),79,246088,0.367,0.6,0.304,5.93E-06,5,0.0864,-11.969,0,0.0915,61.579,4,0.17,12593
6033,Feeling Good,74,174000,0.854,0.318,0.334,0,7,0.188,-9.267,0,0.0487,78.508,4,0.541,8642
6034,You,57,236719,0.511,0.595,0.267,0.0363,0,0.075,-14.936,0,0.0325,115.228,4,0.0388,88524
6035,Shots,36,141900,0.0835,0.861,0.514,0,1,0.162,-8.815,1,0.247,135.003,4,0.372,9673
6036,IGOHOLIC,50,200797,0.0129,0.73,0.765,0,11,0.337,-3.817,0,0.121,115.999,4,0.279,6659
6037,Still New York,74,224914,0.23,0.662,0.677,0,1,0.369,-6.371,0,0.0406,99.017,4,0.347,8603
6038,Inside Out,53,203427,0.222,0.809,0.759,6.69E-06,0,0.139,-5.529,1,0.197,96.005,4,0.722,97014
6039,Somethin' Stupid,30,162493,0.753,0.262,0.328,0,4,0.227,-12.897,1,0.0376,207.074,4,0.533,6786
6040,Over the Moon,38,130455,0.124,0.833,0.73,2.68E-06,6,0.875,-7.837,0,0.349,140.063,4,0.499,6216
6041,Bleeding Love,81,262466,0.188,0.638,0.656,0,5,0.146,-5.886,1,0.0357,104.036,4,0.225,3426
6042,"Mixed-Up, Shook-Up Girl",53,126920,0.248,0.597,0.47,0,5,0.127,-10.207,1,0.033,128.8,4,0.615,2957
6043,All Night Baby,36,186173,0.622,0.475,0.89,2.29E-06,3,0.226,-6.974,0,0.102,123.519,4,0.436,61586
6044,Ni Una Sola Palabra,59,232066,0.0464,0.76,0.832,0,5,0.0992,-3.992,0,0.0286,130.315,4,0.623,7599
6045,Bambini,15,162187,0.000763,0.477,0.916,0.684,1,0.124,-4.94,1,0.037,127.988,4,0.112,6366
6046,Ophelia,71,160097,0.613,0.664,0.573,0.000363,5,0.0857,-6.519,1,0.0277,76.023,4,0.566,62262
6047,Scared To Be Lonely - Brooks Remix,58,200624,0.0126,0.604,0.796,0,1,0.106,-2.416,0,0.0597,127.991,4,0.225,40243
6048,Libertad,43,230240,0.00131,0.766,0.662,0,4,0.209,-5.08,0,0.0527,128.016,4,0.718,9018
6049,Everyday We Lit (feat. PnB Rock),43,197051,0.104,0.762,0.635,0,7,0.0789,-4.852,1,0.101,155.983,4,0.565,9741
6050,I Kissed A Girl,60,192639,0.355,0.728,0.481,6.78E-06,0,0.254,-9.577,1,0.0335,125.998,4,0.802,2449
6051,Gone,50,247106,0.0017,0.29,0.88,2.87E-05,1,0.636,-5.242,1,0.0477,164.26,4,0.427,39535
6052,Magalenha,60,216933,0.129,0.82,0.633,0,9,0.0972,-13.816,1,0.0745,116.622,4,0.716,8509
6053,Flowers On the Wall,54,138800,0.792,0.784,0.451,4.09E-05,8,0.115,-11.225,0,0.0723,100.303,4,0.78,4338
6054,Over It,35,227864,7.69E-05,0.374,0.971,0,11,0.322,-4.284,0,0.0697,97.625,4,0.701,4608
6055,No One Else On Earth,49,255400,0.188,0.775,0.861,4.20E-06,0,0.199,-7.113,1,0.0295,98.649,4,0.964,2215
6056,True Believer,20,289356,0.073,0.145,0.663,0.175,11,0.179,-7.015,1,0.041,66.723,4,0.241,20792
6057,Desire Lines,58,404413,0.0565,0.318,0.918,0.293,2,0.659,-6.288,1,0.0373,120.567,4,0.6,4014
6058,A Lifetime to Repair - Edit,54,197280,0.22,0.645,0.699,1.89E-06,9,0.314,-3.573,1,0.0731,114.965,4,0.743,9680
6059,Broken Beak,52,191115,0.236,0.744,0.575,0.000806,9,0.0771,-6.698,1,0.0306,122.053,4,0.689,39419
6060,Catchin' the Vibe,1,163413,0.133,0.904,0.557,0.00261,1,0.0926,-6.717,1,0.34,90.844,4,0.819,58296
6061,More I See,47,243733,0.224,0.473,0.46,0.403,4,0.0802,-10.936,1,0.0263,141.011,4,0.428,2227
6062,Golden Pineapple,18,188110,0.000696,0.667,0.948,0.973,9,0.151,-4.149,0,0.104,125.973,4,0.323,4935
6063,Paper Roses,32,158973,0.32,0.367,0.506,1.53E-05,8,0.336,-10.522,1,0.0378,114.45,4,0.664,8195
6064,Fíjate Que Si,55,204586,0.385,0.69,0.434,0,4,0.104,-4.455,1,0.033,115.476,3,0.617,8300
6065,Someday - Remastered,63,243333,0.0108,0.743,0.67,0.0702,1,0.22,-4.547,0,0.0293,110.832,4,0.934,4125
6066,Cinco de Mayo,27,263487,0.283,0.681,0.839,0,6,0.178,-2.417,1,0.0584,77.982,4,0.85,6181
6067,Transformer (feat. Nicki Minaj),0,196333,0.00151,0.753,0.616,7.10E-06,2,0.291,-7.34,1,0.165,156.83,4,0.287,76529
6068,Cold as Ice - 2008 Remastered Version,56,200026,0.0594,0.554,0.708,2.72E-06,3,0.143,-5.318,0,0.0271,131.157,4,0.512,4433
6069,Coaster,79,199120,0.935,0.441,0.219,0,8,0.115,-14.586,1,0.0419,94.021,4,0.244,9997
6070,Revolver,44,174293,0.00664,0.547,0.665,0,2,0.109,-5.442,1,0.0556,119.884,4,0.79,4841
6071,Save Tonight,68,239226,9.24E-05,0.547,0.693,5.46E-05,0,0.113,-8.786,1,0.0353,119.567,4,0.583,7850
6072,I Don't Want to Wait - Remastered Version,54,318773,0.315,0.391,0.514,5.87E-06,11,0.0567,-6.398,1,0.0447,177.872,4,0.437,2682
6073,Made,53,174026,0.0692,0.814,0.408,0,5,0.0958,-6.337,0,0.0578,159.997,4,0.297,2702
6074,A Simple Song,62,216013,0.87,0.613,0.199,0.000218,5,0.104,-16.36,1,0.0298,77.104,4,0.376,2228
6075,Pride (In The Name Of Love),44,227733,0.000901,0.421,0.742,0.00216,4,0.689,-10.564,1,0.0334,105.889,4,0.762,2912
6076,Ruin My Life,62,190931,0.423,0.665,0.699,0,11,0.0969,-5.265,1,0.0578,124.896,4,0.585,2201
6077,N'Brik N'Brik,41,136000,0.00162,0.733,0.889,0,7,0.337,-4.396,1,0.0414,120.046,4,0.785,84242
6078,Legendary,14,230696,0.0557,0.534,0.615,2.16E-06,11,0.0992,-5.411,0,0.0389,141.915,4,0.397,22726
6079,Tubthumping,51,279226,0.118,0.319,0.881,0,2,0.364,-7.244,1,0.14,206.941,4,0.625,8939
6080,Sunrise In The East,63,194733,0.0412,0.771,0.719,2.87E-06,6,0.542,-3.645,0,0.0406,107.018,4,0.476,44255
6081,Black Dog,72,295386,0.396,0.437,0.864,0.0314,4,0.242,-7.842,0,0.0904,81.394,4,0.749,3966
6082,I Awoke,17,277120,0.931,0.545,0.144,0.302,1,0.121,-20.47,1,0.0345,128.043,4,0.322,82590
6083,No Stylist,91,192172,0.0215,0.765,0.704,0,5,0.227,-4.589,0,0.127,147.055,4,0.498,7530
6084,Love Like This - 2016 Remaster,45,271920,0.00381,0.709,0.714,0,0,0.0513,-4.038,1,0.0786,100.866,4,0.759,9305
6085,Water Under the Bridge,0,239824,0.873,0.579,0.473,0,9,0.142,-6.34,0,0.0329,95.941,4,0.211,8785
6086,Frozen Ground,49,223500,0.0102,0.625,0.819,0.000135,1,0.268,-5.673,0,0.11,130.014,4,0.227,2050
6087,Every Light In The House,59,179600,0.539,0.637,0.472,0,5,0.446,-7.295,1,0.0271,129.236,4,0.349,3595
6088,show goes on,45,180000,0.0681,0.534,0.653,0,1,0.139,-8.892,1,0.366,77.095,4,0.571,8703
6089,Worldwide (feat. Ghostface Killah),0,153224,0.443,0.681,0.771,0.00224,5,0.247,-6.598,0,0.153,94.026,4,0.689,32618
6090,What I Like About You,70,175400,0.319,0.542,0.915,5.34E-05,9,0.171,-9.637,1,0.0549,159.81,4,0.92,7695
6091,I Still Can't Stop,55,256147,0.000847,0.661,0.855,0.0186,0,0.206,-6.263,0,0.0419,140.02,4,0.124,5527
6092,Make it Better - 2018 Mix,45,236117,0.0111,0.576,0.961,0.00839,9,0.35,-6.094,0,0.0394,126.99,4,0.959,7088
6093,I Feel Better,3,280286,0.0134,0.598,0.672,0,0,0.106,-5.291,0,0.0438,125.086,4,0.338,9286
6094,California Soul,60,177226,0.627,0.508,0.823,7.10E-06,8,0.39,-8.35,0,0.0644,94.533,4,0.638,3736
6095,Higher Ground,23,184978,0.573,0.708,0.728,0.107,6,0.193,-7.406,1,0.227,160.728,4,0.54,3082
6096,No Diggity,40,304600,0.303,0.868,0.646,0,1,0.284,-4.674,0,0.288,88.641,4,0.67,4744
6097,Do It All Over Again,43,226426,0.00151,0.421,0.757,0.0422,0,0.116,-6.034,1,0.0324,140.102,4,0.672,6750
6098,Hora Loca,65,215421,0.0507,0.65,0.801,0,7,0.0645,-5.407,0,0.0723,166.16,4,0.74,2595
6099,Chasing Parties,38,164704,0.727,0.59,0.259,1.13E-06,11,0.114,-12.309,1,0.0417,180.148,4,0.464,4920
6100,Fly,56,244560,0.0235,0.836,0.644,0.194,1,0.297,-8.11,1,0.0522,99.721,4,0.652,9639
6101,Bad and Boujee (feat. Lil Uzi Vert),79,343150,0.061,0.927,0.665,0,11,0.123,-5.313,1,0.244,127.076,4,0.175,23934
6102,You - Ha Ha Ha,44,186579,0.000742,0.5,0.902,0.137,1,0.164,-4.67,0,0.0718,91.059,4,0.619,3290
6103,Don't Let Me Go,42,270384,0.0104,0.5,0.855,0.00504,8,0.165,-3.224,1,0.0538,173.949,4,0.133,5065
6104,Plena y Bomba (feat. Calle 13),35,278786,0.491,0.665,0.415,0.000563,0,0.0624,-10.334,1,0.183,110.319,4,0.836,4911
6105,Albatros,56,165624,0.342,0.615,0.48,0.564,5,0.702,-10.948,0,0.126,118.438,3,0.668,9454
6106,Intuición,40,233800,0.00962,0.705,0.763,5.62E-05,1,0.486,-4.904,0,0.0405,113.03,4,0.589,9250
6107,Bumbum de Ouro,68,167234,0.266,0.806,0.831,0,0,0.07,-2.399,1,0.0778,94.038,4,0.928,8603
6108,"Shake, Shake, Shake",49,163236,0.0797,0.727,0.678,0.000564,10,0.115,-5.136,1,0.0625,119.955,4,0.204,96830
6109,HUMBLE.,13,177604,0.000339,0.905,0.596,2.05E-05,1,0.0897,-7.496,0,0.118,149.996,4,0.422,8157
6110,Rivers and Roads,59,284000,0.699,0.494,0.194,2.98E-05,0,0.0803,-8.965,1,0.0352,135.753,3,0.161,3252
6111,Rivers,62,236853,0.959,0.562,0.25,0.000836,5,0.107,-11.977,1,0.0325,100.804,4,0.595,2202
6112,You Really Got Me - Remastered,58,134066,0.147,0.588,0.948,7.92E-05,8,0.0787,-4.073,1,0.0974,137.294,4,0.962,2284
6113,Oh No,11,220533,0.000477,0.259,0.978,0.000314,8,0.268,-3.842,1,0.22,132.97,4,0.266,40080
6114,Fine China,77,142320,0.0484,0.656,0.542,0,7,0.106,-7.358,1,0.323,166.11,4,0.551,2626
6115,Darkside,89,211866,0.164,0.425,0.642,0,4,0.118,-5.06,0,0.0502,170.008,4,0.112,8885
6116,The Perfect Way to Fall Apart,42,249000,1.88E-05,0.547,0.857,0.0356,1,0.161,-4.001,1,0.0324,106.008,4,0.287,20320
6117,You've Got Your Whole Life Ahead Of You Baby,67,225440,0.159,0.809,0.409,2.53E-06,1,0.11,-7.4,0,0.116,141.926,4,0.398,9241
6118,Ass Drop,68,166706,0.0136,0.816,0.578,1.20E-05,10,0.0412,-4.536,0,0.0986,177.959,4,0.302,90335
6119,White Flag,44,303506,0.443,0.584,0.442,0.614,9,0.158,-10.994,0,0.0249,105.025,4,0.36,9666
6120,Like Whaaat (feat. Bad Lucc),50,211920,0.308,0.766,0.541,0,1,0.123,-11.621,1,0.0892,93.024,4,0.23,2138
6121,Neighbors,9,205120,0.282,0.735,0.797,6.85E-06,4,0.125,-5.27,0,0.028,102.964,4,0.852,9940
6122,Trouble,73,273426,0.189,0.561,0.547,0.00157,11,0.17,-7.496,0,0.0321,139.755,4,0.19,3224
6123,Everything About You,47,255160,0.00878,0.494,0.817,2.26E-06,1,0.0958,-8.409,1,0.0516,122.671,4,0.755,8652
6124,Steambreather,55,303106,4.10E-05,0.358,0.981,0.000674,2,0.184,-4.572,1,0.116,165.027,4,0.262,2432
6125,No Es Justo,88,250840,0.161,0.684,0.811,0.000363,7,0.0871,-4.494,1,0.0714,87.866,4,0.721,4197
6126,Multi Millionaire (feat. Lil Uzi Vert),81,170958,0.0263,0.854,0.817,0,1,0.169,-3.833,1,0.101,145.976,4,0.704,81374
6127,Lost at Heart,35,157697,0.5,0.709,0.686,0.00116,0,0.0861,-5.954,1,0.209,130.062,4,0.352,6857
6128,Escape (The Pina Colada Song),68,276413,0.357,0.818,0.692,9.42E-06,0,0.127,-8.79,1,0.0529,139.695,4,0.934,49817
6129,City Needs Sleep - Fox Stevenson Remix,41,247274,0.000497,0.452,0.904,0.838,6,0.103,-4.251,0,0.0491,174.989,4,0.311,2283
6130,Figure It Out,70,184053,0.262,0.657,0.817,0.00674,0,0.248,-4.415,1,0.0554,107.995,4,0.651,79211
6131,Reptilian,41,273334,3.88E-05,0.365,0.861,0.823,7,0.0881,-6.052,1,0.0454,143.156,3,0.038,5776
6132,BEBE,95,217822,0.172,0.635,0.902,0,0,0.125,-3.559,1,0.109,102.063,4,0.286,2313
6133,All the Other Girls,33,160031,0.628,0.469,0.249,0.000474,6,0.104,-7.258,0,0.0501,99.315,3,0.305,2629
6134,Preach,51,138794,0.224,0.602,0.666,0,2,0.469,-5.058,1,0.309,91.501,4,0.708,9046
6135,Cowboy,62,188218,0.339,0.641,0.841,0,4,0.248,-3.916,0,0.115,76.957,4,0.523,32563
6136,Long Walk Home,33,201959,0.0001,0.429,0.685,0,0,0.144,-5.504,1,0.03,148.155,4,0.607,3933
6137,I Just Can't,67,156000,0.162,0.652,0.595,0,6,0.148,-6.944,0,0.0419,77.538,4,0.303,2991
6138,MOOO!,73,286516,0.461,0.878,0.407,0,7,0.111,-10.941,1,0.233,89.011,4,0.547,5294
6139,My Heart Is Open,2,237760,0.597,0.49,0.315,0,1,0.082,-7.682,1,0.03,101.962,4,0.316,5488
6140,El Loco,46,172133,0.768,0.496,0.448,0.000291,7,0.13,-8.156,1,0.0313,115.284,4,0.519,9649
6141,All Right Now,52,334000,0.00966,0.786,0.481,0,2,0.0954,-11.236,1,0.114,119.854,4,0.785,6041
6142,Electric Love,75,218106,0.00543,0.611,0.797,0.00137,6,0.26,-7.627,0,0.0533,120.041,4,0.518,3996
6143,You Walk Away - Y Tú Te Vas,36,293213,0.04,0.618,0.578,2.91E-05,4,0.0861,-8.048,1,0.0312,139.994,4,0.545,94412
6144,Tennessee Stud - Remastered,35,185026,0.71,0.807,0.319,0,5,0.126,-17.234,1,0.0443,94.789,4,0.689,6395
6145,No Rain,75,217106,0.619,0.389,0.476,5.09E-05,9,0.255,-9.342,1,0.0316,148.117,4,0.566,3686
6146,Caraluna,73,266160,0.176,0.76,0.773,0,9,0.1,-5.314,1,0.0675,102.789,4,0.895,5527
6147,I Was Denied,37,218760,0.00764,0.244,0.95,0.0819,0,0.794,-2.399,1,0.0763,185.246,4,0.407,8219
6148,La Pelota,29,256506,0.722,0.56,0.677,0.0404,0,0.0784,-7.481,0,0.0634,130.081,4,0.941,8107
6149,Just As I Am,53,224413,0.235,0.682,0.751,0,8,0.11,-5.812,0,0.0675,129.937,4,0.708,9664
6150,Go Deep,57,206613,0.207,0.78,0.742,0.000246,9,0.0831,-6.379,0,0.0481,124.962,4,0.515,2074
6151,Innazone,36,250741,0.0311,0.854,0.599,0,5,0.137,-10.426,1,0.172,124.02,4,0.204,3180
6152,"If I'm Lyin, I'm Flyin",83,130929,0.1,0.715,0.617,3.62E-06,11,0.186,-5.558,0,0.242,176.108,4,0.289,9667
6153,Want You,63,217800,0.0757,0.559,0.857,0.000426,11,0.115,-5.455,1,0.0409,100.004,4,0.264,5731
6154,I Know,52,218778,0.115,0.545,0.908,0,0,0.0877,-6.548,1,0.0512,120.155,4,0.391,3660
6155,History,73,203992,0.0997,0.767,0.631,0,1,0.119,-6.762,1,0.0541,100.968,4,0.541,50180
6156,Come Through,58,265160,0.18,0.489,0.829,0,9,0.538,-8.069,0,0.478,139.58,4,0.694,9117
6157,Maria Maria - Radio Mix,70,261973,0.0406,0.777,0.601,0.00201,2,0.0348,-5.931,1,0.126,97.911,4,0.68,28680
6158,Rise,94,194407,0.323,0.69,0.784,0,1,0.203,-4.653,1,0.032,106.066,4,0.669,38312
6159,Money Bag,71,229004,0.107,0.947,0.788,0.000691,10,0.108,-6.138,0,0.124,129.977,4,0.454,7829
6160,Goddess On A Hiway - Remastered,52,225333,0.0186,0.467,0.761,1.25E-06,9,0.0666,-5.893,1,0.0386,145.241,4,0.257,6816
6161,Brace (feat. Rainsford),61,206561,0.417,0.695,0.565,3.69E-05,10,0.0979,-5.806,1,0.0382,67.992,4,0.302,8871
6162,The Things You Do,47,172173,0.306,0.684,0.631,4.97E-05,0,0.103,-6.746,0,0.0378,91.958,4,0.528,50319
